Siren,CA2013,CA2014,CA2015,CA2016,CA2017,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017
502889439,547934,517761,480774,481281,475563,48162,30807,12141,18711,31986,8,7,6,9,8
350903134,1028106,967520,1148687,973180,1069312,53983,37153,56004,-12089,63224,7,7,7,7,7
379426653,786929,689427,632767,333631,19529,-22640,12329,-25427,-1750,1959,4,3,3,3,1
380303107,56846666,59981430,68292386,75030096,81810842,-2938142,-4139303,103905,948483,944020,210,241,252,260,0
381245661,1904620,1881057,1818742,1891544,1896244,75989,126972,79684,29956,45873,13,13,11,11,11
441449790,2592065,3149619,3466363,4504396,6560366,107682,158367,183076,219753,310878,78,93,102,129,191
441459476,17648066,19922884,23165597,27271015,27857965,220980,398030,532614,933938,930452,18,22,27,31,32
350756201,4158680,4417760,4844860,5264980,5848417,-536690,-373e3,134980,304550,316818,5,12,6,7,10
378084610,7150355,8230117,8113704,8991380,8054309,745400,936213,608901,780805,422946,32,42,41,42,42
380216994,679213,1042048,1054600,1566666,1186178,-260899,3326,14362,59639,48280,9,9,9,9,6
384466868,3539441,3383080,3196895,3222451,2888403,28125,9593,10139,6655,21034,95,87,88,85,65
504144684,232357,249481,278200,317003,407043,13894,18091,17379,11361,38872,2,2,2,2,2
508672987,490275,455810,528334,619405,630880,3066,11127,15052,11770,13433,10,7,8,10,9
315738021,4949806,4682454,4303224,4043322,4262977,175211,114559,120186,111428,-846154,25,27,23,23,26
315815035,7599446,7436277,7854577,8185293,10047332,56834,54281,41529,139429,107321,9,11,9,10,10
315828723,1162740,1470732,1163819,1035951,1143622,792349,66520,43746,-19915,13776,9,9,8,8e3,8
315947317,2810531,2665087,2481122,2728480,2830197,212153,181471,196547,191056,201525,18,18,17,15,19
