Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018
445244130,2686864,2160886,2426714,1924967,1480205,1327117,35132,42456,-63826,3834,1010,2035,8,8,8,9,10,17
445296148,378231,518937,693670,900458,1004233,1056980,4884,39596,11241,3456,23374,24644,6,4,6,8,10,10
321357865,116489679,114573341,123388279,125814453,137113179,127943350,3615002,3853288,3804111,3974623,4238506,4028812,352,353,360,373,347,342
321562100,729441,590279,696881,671550,784770,781862,212,-20569,2326,569,8521,28467,11,11,10,10,11,11
321591067,48996400,51051592,52748797,53379277,52431762,52790657,4074368,4326428,3737185,2823864,1755611,526138,331,352,377,408,422,410
321606071,628703,633944,557245,555177,503629,552928,14058,37845,-18750,19219,19863,18426,8,8,8,8,8,7
444974125,3957820,3895940,4649310,4759970,4887210,5067950,63240,14970,67520,183750,140880,100330,24,18,21,25,27,29
767200702,10478662,10470278,10214240,11012835,12544875,14107471,113269,249320,207437,256886,371663,329667,94,92,93,93,102,108
445088057,107689545,122363947,143124200,153732960,160502520,182621641,2626707,5999675,7958664,4963523,5476205,10778071,1349,1479,1675,1698,1713,2013
482989035,391255,349200,328620,304832,315891,292900,7938,9360,8784,1364,9219,-5061,6,4,3,3,4,4
391673357,138054259,148578913,141403544,136950120,122745151,81757939,-1037117,-1803141,2820969,4463408,-12365387,-16070861,470,460,448,427,389,189
391705514,929915,713382,778994,914038,1168057,1377236,-28246,18812,-33080,9661,-69798,57794,9,9,9,7,7,9
391757853,993438,1023433,816797,981002,989110,1096040,12521,6549,2164,526,5020,2459,1,1,1,1,1,1
445174642,1797625,2489142,2362274,3283908,4067606,4922582,149365,264563,169948,30297,186377,410189,6,6,9,10,11,16
445190127,664149,696354,910955,643757,773460,758648,61209,50860,76684,11503,32779,12085,7,7,7,7,7,7
445207939,1537750,1600450,1910550,2053740,2050820,2209710,-2063320,-5610,204910,723870,1737830,26450,19,20,22,20,21,23
448227116,163340,182690,212059,142733,189335,187526,43,2027,-794,-8645,24653,14317,2,1,2,0,1,2
483223962,170927,190565,245201,306815,327748,344754,4051,9372,7841,40084,36020,35654,1,1,2,1,2,2
754049575,3184532,3496292,3137227,2955680,2626077,3152977,241972,189199,160362,170490,129927,205965,5,4,4,3,3,3
391788320,67926,62993,31891,44939,41367,38768,2641,1688,-6495,509,1341,430,2,3,2,2,2,1
391834728,4926120,4272185,5190609,5195258,6457917,6601655,98004,89837,147093,187044,269796,280022,61,60,60,65,68,74
391862695,397717,373841,421463,798719,299399,510116,25092,19540,28059,36540,30920,44150,5,5,5,6,6,7
391920667,3349145,3278321,3164041,3421197,3365064,3322971,113412,129971,-57049,-37872,-80683,-72596,43,43,47,45,45,42
448261875,6701403,8832994,8200148,10340439,10728045,12167313,988186,918532,893557,1220997,1315574,1146035,0,49,0,48,52,60
448317248,798380,699380,638020,723390,690700,677123,30710,14810,9040,10280,7980,8838,1,1,1,1,1,1
753232552,313689,342340,372143,440491,354207,371844,9058,11081,201,3152,747,331,2,1,1,1,1,1
